playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,PA,OBP,SLG,OPS,OPS_Plus,TB
freemmi01,2017,1,LAD,NL,4,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.000,5,0.000,0.000,0.000,-100,0
freemmi01,2017,2,SEA,AL,16,30,3,2,0,0,1,1,0,0,4,9,1,0,0,0,0,0.067,34,0.176,0.167,0.343,-6,5
freemmi01,2017,3,CHC,NL,15,25,3,4,2,0,0,0,0,0,2,8,0,0,0,0,1,0.160,27,0.222,0.240,0.462,20,6
freemsa01,2017,1,ATL,NL,54,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,2,0.000,0.000,0.000,-100,0
freesda01,2017,1,PIT,NL,130,426,44,112,16,0,10,52,0,1,58,116,5,15,0,4,10,0.263,503,0.368,0.371,0.739,96,158
freitda01,2017,1,ATL,NL,6,17,2,4,2,0,0,2,0,0,0,4,0,0,0,0,1,0.235,17,0.235,0.353,0.588,53,6
friedma01,2017,1,ATL,NL,10,7,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0.000,9,0.125,0.000,0.125,-62,0
fryerer01,2017,1,STL,NL,34,71,7,11,3,0,0,3,0,0,11,18,0,1,0,0,3,0.155,83,0.277,0.197,0.474,29,14
fuentre01,2017,1,ARI,NL,64,136,19,32,1,2,3,9,4,1,8,35,0,0,1,0,0,0.235,145,0.278,0.338,0.616,54,46
fulmemi01,2017,1,DET,AL,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0.000,5,0.000,0.000,0.000,-100,0
galero01,2017,1,SDP,NL,3,10,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0.100,10,0.100,0.400,0.500,25,4
gallaca01,2017,1,KCR,AL,13,24,2,6,1,0,1,5,0,0,3,4,0,0,0,0,1,0.250,27,0.333,0.417,0.750,98,10
gallayo01,2017,1,SEA,AL,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,2,0.500,0.500,1.000,174,1
gallojo01,2017,1,TEX,AL,145,449,85,94,18,3,41,80,7,2,75,196,1,8,0,0,3,0.209,532,0.333,0.537,0.869,121,241
galvifr01,2017,1,PHI,NL,162,608,71,155,29,6,12,61,14,5,45,111,2,4,2,4,12,0.255,663,0.309,0.382,0.690,83,232
gamelbe01,2017,1,SEA,AL,134,509,68,140,27,5,11,59,4,1,36,122,1,1,1,3,8,0.275,550,0.322,0.413,0.735,98,210
gantjo01,2017,1,STL,NL,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,3,0.000,0.000,0.000,-100,0
garciad01,2017,1,ATL,NL,52,173,19,41,4,0,5,19,4,0,7,23,0,2,0,1,9,0.237,183,0.273,0.347,0.620,63,60
garciav01,2017,1,CHW,AL,136,518,75,171,27,5,18,80,5,3,33,111,5,9,0,1,14,0.330,561,0.380,0.506,0.885,137,262
garcigr01,2017,1,STL,NL,133,241,27,61,9,2,2,20,2,1,37,64,0,6,5,1,6,0.253,290,0.365,0.332,0.697,87,80
garcija01,2017,1,OAK,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
garcija02,2017,1,NYY,AL,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,2,0.000,0.000,0.000,-100,0
garcija02,2017,2,ATL,NL,15,31,2,5,1,0,1,7,0,0,1,7,0,0,3,0,0,0.161,35,0.188,0.290,0.478,24,9
garcija04,2017,1,MIA,NL,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
garcile02,2017,1,CHW,AL,87,300,41,81,15,2,9,33,8,5,13,69,0,8,3,2,4,0.270,326,0.316,0.423,0.739,97,127
garcilu03,2017,1,PHI,NL,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
garciwi01,2017,1,CHW,AL,44,105,15,25,5,3,2,12,0,0,11,31,0,0,1,2,2,0.238,119,0.305,0.400,0.705,89,42
gardeni01,2017,1,TEX,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
gardnbr01,2017,1,NYY,AL,151,594,96,157,26,4,21,63,23,5,72,122,2,8,5,3,4,0.264,682,0.350,0.428,0.778,104,254
garnedu01,2017,1,OAK,AL,19,44,5,7,1,0,1,3,0,0,8,12,0,0,0,0,2,0.159,52,0.288,0.250,0.538,50,11
garnedu01,2017,2,COL,NL,22,68,5,14,7,0,1,6,0,0,4,24,0,1,1,0,1,0.206,74,0.260,0.353,0.613,50,24
garream01,2017,1,CIN,NL,15,19,1,1,1,0,0,1,0,0,0,6,0,0,4,0,3,0.053,23,0.053,0.105,0.158,-60,2
garvemi01,2017,1,MIN,AL,23,46,5,9,1,3,0,3,0,0,6,15,0,0,0,0,1,0.196,52,0.288,0.348,0.636,71,16
garzama01,2017,1,MIL,NL,23,35,1,3,0,0,0,1,0,0,0,13,0,1,1,0,0,0.086,37,0.111,0.086,0.197,-47,3
gattiev01,2017,1,HOU,AL,84,300,41,79,22,0,12,55,0,1,18,50,0,4,0,3,10,0.263,325,0.311,0.457,0.767,110,137
