playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,FIP,WHIP
layneto01,2017,1,NYY,AL,0,0,19,0,0,0,0,NULL,16,11,1,8,9,NULL,7.62,0,NULL,1,0,63,NULL,12,NULL,NULL,NULL,13,4.850,1.846
leakemi01,2017,1,SEA,AL,3,1,5,5,0,0,0,NULL,32,9,1,2,27,NULL,2.53,0,NULL,2,0,128,NULL,10,NULL,NULL,NULL,32,2.250,1.063
leakemi01,2017,2,STL,NL,7,12,26,26,0,0,0,NULL,169,72,19,35,103,NULL,4.21,3,NULL,7,0,654,NULL,83,NULL,NULL,NULL,154,4.240,1.325
leathja01,2017,1,PIT,NL,0,0,6,0,0,0,0,NULL,3,0,0,2,6,NULL,0,0,NULL,0,0,18,NULL,0,NULL,NULL,NULL,4,1.770,1.154
leathja01,2017,2,CHC,NL,0,0,1,0,0,0,0,NULL,1,2,0,4,1,NULL,27,0,NULL,0,0,7,NULL,2,NULL,NULL,NULL,0,18.160,7.500
leblawa01,2017,1,PIT,NL,5,2,50,0,0,0,1,NULL,64,34,10,17,54,NULL,4.5,1,NULL,1,0,283,NULL,35,NULL,NULL,NULL,68,4.280,1.191
leclejo01,2017,1,TEX,AL,2,3,47,0,0,0,2,NULL,23,20,4,40,60,NULL,3.94,1,NULL,3,0,200,NULL,21,NULL,NULL,NULL,45,4.490,1.380
leeza01,2017,1,SDP,NL,1,0,3,1,0,0,0,NULL,8,5,1,8,6,NULL,5.63,0,NULL,0,0,41,NULL,5,NULL,NULL,NULL,8,6.280,2.000
leitema02,2017,1,PHI,NL,3,6,27,11,0,0,0,NULL,90,50,18,31,84,NULL,4.96,2,NULL,7,0,395,NULL,59,NULL,NULL,NULL,90,5.140,1.335
leonar02,2017,1,DET,AL,0,0,6,0,0,0,0,NULL,7,9,0,6,2,NULL,12.15,1,NULL,0,0,31,NULL,9,NULL,NULL,NULL,6,5.260,1.950
leonedo01,2017,1,TOR,AL,3,0,65,0,0,0,1,NULL,51,20,6,23,81,NULL,2.56,3,NULL,0,0,279,NULL,22,NULL,NULL,NULL,70,2.940,1.052
lestejo01,2017,1,CHC,NL,13,8,32,32,1,0,0,NULL,179,87,26,60,180,NULL,4.33,3,NULL,4,0,763,NULL,101,NULL,NULL,NULL,180,4.100,1.323
lewicar01,2017,1,DET,AL,0,1,4,1,0,0,0,NULL,19,7,1,4,6,NULL,6.1,0,NULL,0,0,52,NULL,8,NULL,NULL,NULL,10,4.420,2.226
liberad01,2017,1,LAD,NL,0,0,4,0,0,0,0,NULL,3,1,0,2,5,NULL,2.7,0,NULL,0,0,15,NULL,1,NULL,NULL,NULL,3,1.960,1.500
lindbjo01,2017,1,PIT,NL,0,0,4,0,0,0,0,NULL,18,9,0,3,10,NULL,7.84,0,NULL,0,0,51,NULL,9,NULL,NULL,NULL,10,2.090,2.032
liriafr01,2017,1,HOU,AL,0,2,20,0,0,0,0,NULL,14,7,0,10,11,NULL,4.4,1,NULL,2,0,64,NULL,9,NULL,NULL,NULL,14,4.130,1.674
liriafr01,2017,2,TOR,AL,6,5,18,18,0,0,0,NULL,91,54,11,43,74,NULL,5.88,1,NULL,2,1,375,NULL,57,NULL,NULL,NULL,82,4.730,1.621
livelbe01,2017,1,PHI,NL,4,7,15,15,1,0,0,NULL,90,42,13,24,52,NULL,4.26,1,NULL,8,1,372,NULL,45,NULL,NULL,NULL,88,4.970,1.286
lloydky01,2017,1,SDP,NL,0,0,1,1,0,0,0,NULL,6,4,1,2,2,NULL,9,0,NULL,0,0,20,NULL,4,NULL,NULL,NULL,4,6.910,2.000
lockeje01,2017,1,MIA,NL,0,5,7,7,0,0,0,NULL,42,29,4,15,26,NULL,8.16,3,NULL,0,0,152,NULL,30,NULL,NULL,NULL,32,4.560,1.781
loganbo02,2017,1,CLE,AL,1,0,38,0,0,0,0,NULL,20,11,2,9,28,NULL,4.71,0,NULL,1,0,91,NULL,13,NULL,NULL,NULL,21,3.160,1.381
lopezjo02,2017,1,MIL,NL,0,0,1,0,0,0,0,NULL,4,1,0,1,0,NULL,4.5,0,NULL,0,0,10,NULL,1,NULL,NULL,NULL,2,4.660,2.500
lopezre01,2017,1,CHW,AL,3,3,8,8,0,0,0,NULL,49,25,7,14,30,NULL,4.72,0,NULL,1,0,207,NULL,29,NULL,NULL,NULL,47,4.750,1.322
lorenmi01,2017,1,CIN,NL,8,4,70,0,0,0,2,NULL,78,41,9,34,80,NULL,4.45,5,NULL,4,1,361,NULL,43,NULL,NULL,NULL,83,4.010,1.349
loupaa01,2017,1,TOR,AL,2,3,70,0,0,0,0,NULL,59,24,4,29,64,NULL,3.75,5,NULL,6,0,265,NULL,27,NULL,NULL,NULL,57,3.660,1.526
lucasjo02,2017,1,STL,NL,0,0,5,0,0,0,0,NULL,7,3,2,4,7,NULL,3.68,0,NULL,1,0,32,NULL,3,NULL,NULL,NULL,7,6.840,1.500
lugose01,2017,1,NYM,NL,7,5,19,18,0,0,0,NULL,114,53,13,25,85,NULL,4.71,1,NULL,2,1,436,NULL,57,NULL,NULL,NULL,101,3.950,1.372
lylesjo01,2017,1,SDP,NL,1,3,5,5,0,0,0,NULL,35,24,5,10,22,NULL,9.39,0,NULL,0,0,113,NULL,24,NULL,NULL,NULL,23,5.380,1.957
lylesjo01,2017,2,COL,NL,0,2,33,0,0,0,0,NULL,61,36,11,12,33,NULL,6.94,1,NULL,4,0,211,NULL,37,NULL,NULL,NULL,46,5.840,1.564
lynnla01,2017,1,STL,NL,11,8,33,33,0,0,0,NULL,151,71,27,78,153,NULL,3.43,5,NULL,10,0,776,NULL,80,NULL,NULL,NULL,186,4.820,1.229
lyonsty01,2017,1,STL,NL,4,1,50,0,0,0,3,NULL,39,17,3,20,68,NULL,2.83,2,NULL,7,0,220,NULL,17,NULL,NULL,NULL,54,2.860,1.093
machaan02,2017,1,KCR,AL,0,0,2,0,0,0,0,NULL,10,9,2,3,1,NULL,22.09,0,NULL,0,0,24,NULL,9,NULL,NULL,NULL,3,12.160,3.545
machije01,2017,1,SEA,AL,1,0,5,0,0,0,0,NULL,7,1,1,4,4,NULL,1.17,0,NULL,0,0,31,NULL,2,NULL,NULL,NULL,7,5.380,1.435
maddoau01,2017,1,BOS,AL,0,0,13,0,0,0,0,NULL,13,1,1,2,14,NULL,0.52,0,NULL,0,0,67,NULL,1,NULL,NULL,NULL,17,2.640,0.865
madsory01,2017,1,WSN,NL,3,0,20,0,0,0,1,NULL,13,3,0,3,28,NULL,1.37,0,NULL,2,0,75,NULL,3,NULL,NULL,NULL,19,1.070,0.814
madsory01,2017,2,OAK,AL,2,4,40,0,0,0,1,NULL,25,9,2,6,39,NULL,2.06,2,NULL,2,0,144,NULL,9,NULL,NULL,NULL,39,2.450,0.788
maedake01,2017,1,LAD,NL,13,6,29,25,0,0,1,NULL,121,63,22,34,140,NULL,4.22,1,NULL,5,0,557,NULL,68,NULL,NULL,NULL,134,4.070,1.154
magnida01,2017,1,LAA,AL,0,0,1,0,0,0,0,NULL,0,0,0,2,1,NULL,0,0,NULL,0,0,3,NULL,0,NULL,NULL,NULL,0,15.160,6.000
